id,complexity,dino_score
1,simple,0.770592
2,simple,0.700883
3,simple,0.520948
4,simple,0.802470
5,simple,0.736515
6,medium,0.691772
7,medium,0.710472
8,medium,0.437160
9,medium,0.679200
10,medium,0.277799
11,complex,0.611471
12,complex,0.821885
13,complex,0.569383
14,complex,0.620110
15,complex,0.408065
