id,complexity,dino_score
1,simple,0.647119
2,simple,0.433007
3,simple,0.395377
4,simple,0.387920
5,simple,0.499289
6,medium,0.491189
7,medium,0.485056
8,medium,0.322059
9,medium,0.415493
10,medium,0.199397
11,complex,0.535252
12,complex,0.477866
13,complex,0.310082
14,complex,0.294576
15,complex,0.363705
