id,complexity,dino_score
1,simple,0.795372
2,simple,0.724205
3,simple,0.320240
4,simple,0.797233
5,simple,0.723624
6,medium,0.691247
7,medium,0.680712
8,medium,0.469067
9,medium,0.607830
10,medium,0.155903
11,complex,0.617391
12,complex,0.832481
13,complex,0.561536
14,complex,0.643096
15,complex,0.408379
