id,complexity,dino_score
1,simple,0.872506
2,simple,0.782524
3,simple,0.677031
4,simple,0.866833
5,simple,0.760074
6,medium,0.728821
7,medium,0.752473
8,medium,0.438888
9,medium,0.773937
10,medium,0.146572
11,complex,0.706985
12,complex,0.867542
13,complex,0.500537
14,complex,0.696400
15,complex,0.346930
