id,complexity,dino_score
1,simple,0.882850
2,simple,0.840306
3,simple,0.649773
4,simple,0.686466
5,simple,0.549836
6,medium,0.666139
7,medium,0.523952
8,medium,0.467510
9,medium,0.715956
10,medium,0.185759
11,complex,0.605512
12,complex,0.727818
13,complex,0.672653
14,complex,0.398971
15,complex,0.330575
