id,complexity,dino_score
1,simple,0.773857
2,simple,0.700251
3,simple,0.109969
4,simple,0.825956
5,simple,0.721623
6,medium,0.694138
7,medium,0.735616
8,medium,0.464798
9,medium,0.659073
10,medium,0.165641
11,complex,0.606490
12,complex,0.823600
13,complex,0.562270
14,complex,0.595508
15,complex,0.416928
