id,complexity,dino_score
1,simple,0.846796
2,simple,0.775572
3,simple,0.715997
4,simple,0.782455
5,simple,0.733133
6,medium,0.616533
7,medium,0.744509
8,medium,0.438240
9,medium,0.701042
10,medium,0.278184
11,complex,0.585746
12,complex,0.748627
13,complex,0.742254
14,complex,0.484650
15,complex,0.367066
